name,uniscoreavg
National University of Colombia,19.78333333333333
National University of Cuyo,18.237499999999997
National University of Córdoba,13.957142857142857
National University of Distance Education (UNED),21.35
National University of Kaohsiung,15.258333333333333
National University of La Plata,14.35
National University of San Martín,20.52
National University of Science and Technology (MISiS),25.7125
National University of Sciences and Technology,23.21875
National University of Singapore,79.29230769230769
National University of Tainan,18.5
National University of the South,15.149999999999999
National Yang Ming Chiao Tung University,43.849999999999994
National Yang-Ming University,28.333333333333332
National Yunlin University of Science and Technology,23.85
National and Kapodistrian University of Athens,32.8375
Near East University,33.075
Necmettin Erbakan University,21.75
New Jersey Institute of Technology,31.15
New Mexico Institute of Mining and Technology,39.95
New Mexico State University (Main campus),27.15
New York University,75.78461538461539
Newcastle University,52.06666666666666
Nicolaus Copernicus University in Toruń,18.057142857142857
Niigata University,21.675
Nippon Medical School,32.3
Nizhny Novgorod State Technical University,15.4
Nnamdi Azikiwe University,14.350000000000001
Normandy University,26.2
North Carolina State University,41.04375
North China Electric Power University,18.9
North South University,36.6
North-Caucasus Federal University,14.350000000000001
North-Eastern Federal University,16.150000000000002
North-West University,37.775
North-Western State Medical University named after I.I. Mechnikov,14.350000000000001
NorthWest A&F University,24.66
Northeast Normal University,27.571428571428573
"Northeastern University, China",25.457142857142856
"Northeastern University, US",47.480000000000004
Northern (Arctic) Federal University named after M.V. Lomonosov,14.350000000000001
Northern Arizona University,37.725
Northern Illinois University,33.400000000000006
Northumbria University,33.28125
Northwest University,22.599999999999998
Northwestern Polytechnical University,28.5875
Northwestern University,80.92307692307692
Norwegian University of Life Sciences,36.228571428571435
Norwegian University of Science and Technology,37.8125
Nosov Magnitogorsk State Technical University,15.4
Nottingham Trent University,27.9875
Nova Southeastern University,46.3625
Novosibirsk State Technical University,17.02857142857143
